n_known_src,init,init_seed,init_data,data_seed,converged,convergence_iteration,normalize_A,sn_ratio,Au_coherence,elapsed,A_err,A_err_angle_mean,A_err_angle_max,S_err_MSE,S_err_MCC,X_err,nsrc,nobs,sd_err,nreps,method,err_correlation_type,whiten_data,mu
0,1,1001,4,40001,True,139,False,100,0.7995542095988518,1.8465961110778153,0.6086443288938077,0.6346627063138147,0.931878492998932,0.9466226678316013,0.7024088471084262,1.990604394373733e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,0,1,28,280001,True,145,False,100,0.7429526908799313,1.8919731955975294,0.4814523380003195,0.4808017670376796,0.6332899788133237,0.5779792207921471,0.8642769256285296,2.358780560654927e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,0,1,2,20001,True,147,False,100,0.6591126372940928,2.008579035755247,0.5512951839355104,0.5612901938239254,0.930751036887113,0.8811921935208732,0.693157422346622,1.0513533188047468e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,2,2001,8,80001,True,131,False,100,0.7432275631762704,1.825878756120801,0.4568788216719281,0.4416451136973967,0.9167376380407101,0.6088596851586591,0.8307852163857704,2.514106067190396e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,0,1,14,140001,True,143,False,100,0.7323773141256033,1.9536420539952815,0.3996567496774472,0.395680999831709,0.5879816723924595,0.5066791240675389,0.8961512989958216,1.5344678501343408e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,1,1001,15,150001,True,145,False,100,0.6595362192764223,1.914501538965851,0.47317939946738236,0.4724143125095341,0.7080803983035048,0.6328546617947461,0.8281043211387807,2.296898242771562e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,1,1001,13,130001,True,130,False,100,0.6845125756600403,1.9674520837143064,0.6939793724582219,0.7547526729239027,1.0418795968256034,0.8626135003622171,0.7872357456442209,3.44132962162659e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,0,1,1,10001,True,136,False,100,0.776302469649497,2.0620114989578724,0.6160083895586542,0.646314044128522,0.884655874453418,0.9893355937073663,0.618142638468559,1.4244948965677096e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,2,2001,4,40001,True,138,False,100,0.7995542095988518,1.9128047307021916,0.5917322524917124,0.6173004419802651,0.84192527168243,1.0024514292561635,0.5997568081944188,1.9016603446296708e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,1,1001,0,1,True,142,False,100,0.7250225731806699,2.021322424057871,0.5490798782092033,0.5442118293327044,1.0880922522577183,0.8109032636955735,0.7672041729437749,1.130125484226671e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,1,1001,12,120001,True,148,False,100,0.8279986528324745,1.9992788671515882,0.4159954073421977,0.39167852628413735,0.7428616302718299,0.6499691989583862,0.8189145034730644,8.569411712348017e-06,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,0,1,20,200001,True,142,False,100,0.883183190493795,2.0448174909688532,0.5323769789588656,0.5552299055105105,0.6999058865513246,0.8167479115881292,0.7314602742788092,1.622865584595344e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,1,1001,20,200001,True,145,False,100,0.883183190493795,1.9943346288055182,0.6525825802189562,0.708225971695207,1.1555958490699587,0.9324068005825116,0.6293435483479932,2.075386851868595e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,0,1,15,150001,True,143,False,100,0.6595362192764223,2.0765566350892186,0.40675479148145677,0.39366678455927423,0.6509653028336033,0.5274344526962282,0.8706378508125502,1.7098773109711305e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
0,1,1001,1,10001,True,135,False,100,0.776302469649497,2.0459955828264356,0.5420161940855535,0.5507348472128076,0.8567221192927322,0.7554499603202408,0.7891104250441021,1.6572219979461882e-05,6,6,0.1414213562373095,2500,OLS_iid,iid,False,5
