n_known_src,init,init_seed,init_data,data_seed,converged,convergence_iteration,normalize_A,sn_ratio,Au_coherence,elapsed,A_err,A_err_angle_mean,A_err_angle_max,S_err_MSE,S_err_MCC,X_err,nsrc,nobs,sd_err,nreps,method,err_correlation_type,whiten_data,mu
2,0,1,10,100001,True,54,False,100,0.6626720164841381,0.007341516204178333,0.3635084787185034,0.29159185436128177,1.1546649348158904,0.6971419588469963,0.7744052154559515,0.0006445682213622067,10,8,0.5,2500,fast_ICA,iid,False,5
2,1,1001,14,140001,True,54,False,100,0.6118080323230997,0.0076523637399077415,0.2071070899867599,0.17811140901107284,0.4186397961063604,0.5841605175661613,0.8416955440295566,0.00017881660237543896,10,8,0.5,2500,fast_ICA,iid,False,5
2,0,1,14,140001,True,44,False,100,0.6118080323230997,0.018802243284881115,0.21145390175088535,0.1798820094251374,0.4279072449133752,0.5927686760941506,0.839691574646618,0.0002535078957487399,10,8,0.5,2500,fast_ICA,iid,False,5
2,0,1,9,90001,True,106,False,100,0.6983329382148242,0.019795855041593313,0.26803391368142854,0.232417935791087,0.5530704260970435,0.7243396295763347,0.7594347705570806,0.0017669146912182064,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,14,140001,True,49,False,100,0.6118080323230997,0.007252857089042664,0.16294646908338828,0.14033532759887235,0.3038325199400683,0.569515153659134,0.8485260709060871,0.00018655655357685847,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,5,50001,True,51,False,100,0.8272450381653151,0.010015207342803478,0.3122942727712614,0.2677354254423426,0.6199415696252765,0.728312242283514,0.7550668130636043,0.0006792256353837858,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,6,60001,True,55,False,100,0.8485170280241356,0.00950660090893507,0.44554129654035945,0.3587369992208168,1.2520982319216964,0.8702460198691863,0.6759143514312929,0.0009767369294094417,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,2,20001,True,47,False,100,0.7106389106632047,0.010961459949612617,0.38171595792864504,0.28937864807306507,0.9771511024464916,0.7388111668922386,0.7473539725934067,0.0006134844752523725,10,8,0.5,2500,fast_ICA,iid,False,5
2,1,1001,28,280001,True,60,False,100,0.6597626404191776,0.012169841211289167,0.3582424207589926,0.3008166297415773,0.6900556441357203,0.7441781814607538,0.7435709019809315,0.0004971935356255552,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,3,30001,True,136,False,100,0.6447894061111327,0.015203448943793774,0.35691200682569313,0.28916286682716646,1.1821828441475501,0.7672353802402021,0.724232135690664,0.00040240320115278384,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,20,200001,True,57,False,100,0.665995980965801,0.009776458609849215,0.2427658538075649,0.20326176819522615,0.45114021508604635,0.604524142104127,0.8312330809812023,0.0017264482174648198,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,16,160001,True,65,False,100,0.8426148700828653,0.012660786975175142,0.36839870459495083,0.30270859917927206,1.4298235230664216,0.9176023006336925,0.7359107657438815,8.77411649957069e-05,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,13,130001,True,50,False,100,0.7311475226036316,0.015427886974066496,0.25717162283643297,0.21437173602854695,0.5400673697168733,0.6539639503392201,0.7982304695700913,0.0008674501907160525,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,26,260001,True,56,False,100,0.6179674035184236,0.01085807103663683,0.3609036297504642,0.32510367971994186,0.7714403400839592,0.7621231494498109,0.7279189639841966,0.0018591899901228687,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,3,30001,True,95,False,100,0.6447894061111327,0.011479335837066174,0.38212153670345084,0.29644933471435964,0.9538222055658112,0.8319428099638448,0.7192037148585464,0.0005619031256167658,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,23,230001,True,56,False,100,0.7199011242722158,0.013412411790341139,0.42313442705923376,0.35979639456094425,1.4826534935999602,1.106762055542501,0.7324333128408654,0.0014902980073400584,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,9,90001,True,64,False,100,0.6983329382148242,0.006751359906047583,0.3617148214676782,0.3003542132899756,0.9512854705278538,0.7683743063331956,0.7338922295326784,0.0017159677336655165,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,1,10001,True,151,False,100,0.8401680715117149,0.013188864104449749,0.44151533109492785,0.36762570547044626,1.300314933921894,0.8899913586887631,0.6687094976558052,0.0002741212037592221,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,4,40001,True,52,False,100,0.776394083335477,0.009293542243540287,0.40587464214667224,0.3316888428669018,1.2076746372516602,0.8371233722934412,0.6840112758633337,0.001538858500217766,10,8,0.5,2500,fast_ICA,iid,False,5
2,2,2001,22,220001,True,76,False,100,0.6726840781711417,0.010278133675456047,0.36342850036115765,0.300101176503741,1.0715635022060845,0.7369013205470931,0.7391270727640529,0.0014429299904378638,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,8,80001,True,56,False,100,0.7592532560679476,0.010037985630333424,0.32929773332622814,0.283022894116787,0.770589070409706,0.7330623796131809,0.7312067301608682,0.001267995916967403,10,8,0.5,2500,fast_ICA,iid,False,5
2,0,1,4,40001,True,54,False,100,0.776394083335477,0.007979031186550856,0.3949903301318099,0.3431941142165237,0.9079791783119469,0.8670955591574818,0.6889097133345016,0.0023101810302801787,10,8,0.5,2500,fast_ICA,iid,False,5
2,0,1,7,70001,True,46,False,100,0.7076925591121439,0.007469454780220985,0.3513574986585624,0.27808627933736807,1.1248596663528527,0.7279682369190135,0.7519427128561951,0.00030862867624588646,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,10,100001,True,50,False,100,0.6626720164841381,0.011590226087719202,0.29289052286876366,0.2496840440354739,0.706651559420007,0.658253570531412,0.7888830565624353,0.00039295768105603474,10,8,0.5,2500,fast_ICA,iid,False,5
2,0,1,5,50001,True,111,False,100,0.8272450381653151,0.00880328519269824,0.33254532260027286,0.2908867018757062,0.6523076389633364,0.744707107598255,0.7454301086743385,0.0004482430040916021,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,14,140001,True,71,False,100,0.6118080323230997,0.009444540832191706,0.20424959003901066,0.17964929497254342,0.3855236106460143,0.601136714000142,0.8334748034050109,0.00022154112783974393,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,13,130001,True,63,False,100,0.7311475226036316,0.010290284641087055,0.22550891196589337,0.1826541399835848,0.4946651874486681,0.6319478092886495,0.8150197556238794,0.001106754836986823,10,8,0.5,2500,fast_ICA,iid,False,5
2,3,3001,24,240001,True,50,False,100,0.6668511998202757,0.005692217964679003,0.34724600903034447,0.2700189866174499,0.9787645841963366,0.677037542500159,0.7842666633420935,0.0009158471858543569,10,8,0.5,2500,fast_ICA,iid,False,5
2,0,1,17,170001,True,48,False,100,0.6509829848214361,0.008356578648090363,0.47056136858419206,0.41298735770901657,1.1293631546055898,0.9109810674075336,0.6249481592534835,0.000370666094511342,10,8,0.5,2500,fast_ICA,iid,False,5
