n_known_src,init,init_seed,init_data,data_seed,converged,convergence_iteration,normalize_A,sn_ratio,Au_coherence,elapsed,A_err,A_err_angle_mean,A_err_angle_max,S_err_MSE,S_err_MCC,X_err,nsrc,nobs,sd_err,nreps,method,err_correlation_type,whiten_data,mu
6,0,1,10,100001,True,19,False,10,0.8496673085932466,0.009729026816785336,0.3269318438410354,0.24259500972292844,1.2805876153263083,16.57292924716005,0.6165236215562524,0.0010903602859859102,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,5,50001,True,29,False,10,0.6342632394042552,0.012064841110259295,0.13734442252280146,0.08965398111055684,0.39257128592066237,0.7101812160594178,0.7826167515905275,0.00038020694672521993,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,9,90001,True,20,False,10,0.7465018959758348,0.011117758229374886,0.11149488369574419,0.07733136636863906,0.2655620586985788,0.6448351622039015,0.8157287747162489,0.0011095378705227956,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,2,20001,True,17,False,10,0.8982894487019674,0.012689528055489063,0.33064253528741705,0.23431843712719996,0.999797805318908,2.146462775079677,0.6062340737437748,0.00035643364116127795,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,14,140001,True,19,False,10,0.7822664157058622,0.012495219241827726,0.169291781849965,0.12199717928115994,0.39174261316204567,0.6870838001847079,0.7956328415012208,0.0004924155301301536,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,20,200001,True,20,False,10,0.8163436872837775,0.010896969120949507,0.31212270330897807,0.19349745804414678,1.1315600007867839,1.0476855571257149,0.5762395933630582,0.0026126595054056095,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,0,1,True,53,False,10,0.797114837278063,0.01335264416411519,0.345044846415817,0.24310829743583423,0.9713259942964035,1.0151677440018156,0.6288893333230006,0.0003488381098916289,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,15,150001,True,158,False,10,0.9728456104723188,0.009479718748480082,0.3131591207590947,0.19577894313279615,1.236001499877784,1.049190442279739,0.625220421604065,0.0010763452937687383,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,3,30001,True,30,False,10,0.6634217387930175,0.016061465721577406,0.29269481303309314,0.18702767069827878,0.8715396919580705,0.8881844399036782,0.6957532220640257,0.000644918378327083,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,12,120001,True,19,False,10,0.9534255852591149,0.015182631090283394,0.29199061637194157,0.16357729491750364,1.125734281401162,0.8760508217082479,0.6876628713657212,0.00042960396159562986,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,2,2001,12,120001,True,15,False,10,0.9534255852591149,0.006277808919548988,0.30810950545078686,0.18216544725423486,1.255718875540655,0.9955224227988553,0.6824154858881892,0.0010353230270187283,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,24,240001,True,42,False,10,0.6539985865827708,0.01827874081209302,0.36534937717094706,0.26110382226229084,0.8170933383394348,1.3815989418682515,0.6007517170824607,0.0023982274793073843,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,27,270001,True,24,False,10,0.9771121812887735,0.02203439734876156,0.3268470689563577,0.21966501570988167,0.8580236584079219,10.936711228624015,0.6018415700719936,0.0020681049363158502,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,2,2001,26,260001,True,23,False,10,0.6919488791086463,0.0059827412478625774,0.3229277190429441,0.2074385780099087,1.2011628050934675,0.9912757851152929,0.6789209643601376,0.0009506389473883512,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,5,50001,True,24,False,10,0.6342632394042552,0.02388151502236724,0.17007637694683608,0.11197013173008066,0.5036445853145458,0.7190015655115715,0.7776209023241264,0.0004152682409154655,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,3,30001,True,27,False,10,0.6634217387930175,0.0089528220705688,0.300515028164724,0.18389962906834953,0.9301630724523813,0.8882111886438935,0.6885491447425192,0.00033380654791558315,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,6,60001,True,22,False,10,0.6826013548386951,0.009046440944075584,0.07194739023451661,0.05926633685772011,0.15116426204155106,0.5699892936719629,0.8602560683951159,0.0009233895353003064,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,8,80001,True,17,False,10,0.8629360753701278,0.008139166980981827,0.32989778177733503,0.22593876452429412,0.8301148813071568,2.708253277311273,0.5940332553887697,0.0016353198688225635,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,0,1,True,48,False,10,0.797114837278063,0.012349058873951435,0.3504788750829551,0.29771404648017863,0.928350460413377,28.43388751434135,0.5835248671185513,0.000742737293181405,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,10,100001,True,17,False,10,0.8496673085932466,0.007517270743846893,0.3256877417012344,0.23267642761006302,1.2448719739452165,3.8606395952863664,0.6141518015408658,0.0011252995796850898,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,12,120001,True,22,False,10,0.9534255852591149,0.006870315410196781,0.28349830319755226,0.15451938942910717,1.074661967700909,0.8480603044861446,0.6988499766000512,0.0008082754421994149,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,2,2001,27,270001,True,15,False,10,0.9771121812887735,0.013250063639134169,0.3220725353168738,0.2014257173453026,0.8613853403119892,1.684278413366504,0.6069011930393169,0.0019189020794911503,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,4,40001,True,24,False,10,0.5211791564133994,0.012090400792658329,0.16298913379451405,0.1146396436015841,0.41257171738836873,0.6952563647435185,0.7940928579199684,0.001789988129579671,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,12,120001,True,24,False,10,0.9534255852591149,0.009660277049988508,0.2882368630637983,0.15185077671225145,1.115957324605159,0.859037006408732,0.6933469114036557,0.0009362745187129633,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,23,230001,True,18,False,10,0.990145626503555,0.0036031659692525864,0.3180653522460893,0.2536674059806179,0.7826670297629199,1.2687733589996426,0.6169989520943677,0.0033831291177538795,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,16,160001,True,14,False,10,0.9317241768201683,0.010181024204939604,0.3194544028572346,0.21253048170785874,0.7419918811813155,1.1259472117047462,0.5991511177245707,0.00022669153284402533,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,21,210001,True,22,False,10,0.7610929262482663,0.01047950191423297,0.3560318193151197,0.2906354076274636,1.1570609910538536,1.7172015095826947,0.602545114435862,0.0011582240001313593,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,24,240001,True,57,False,10,0.6539985865827708,0.00833549490198493,0.3920638284693562,0.30191440624309757,1.0084091548171095,1.7913706916529102,0.5619250280820357,0.00288447628155232,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,2,2001,20,200001,True,41,False,10,0.8163436872837775,0.023677915800362825,0.3735352888008039,0.2718374955315392,1.2674549619448174,2.257052506659475,0.5316712131508157,0.004324549287549714,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,4,4001,10,100001,True,19,False,10,0.8496673085932466,0.005202596075832844,0.3275911148073828,0.23000977034731637,1.1427880871370872,1.9015826785873995,0.6265879829822427,0.0011751764485615525,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,4,4001,0,1,True,27,False,10,0.797114837278063,0.007408272009342909,0.2759144879460654,0.17206754358810464,0.7759322043306217,0.8937125960132419,0.6661734168441106,0.0014839449890563078,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,2,2001,15,150001,True,20,False,10,0.9728456104723188,0.011658014263957739,0.32703592556499655,0.2065305343877303,1.3767434808733607,5.5003177270974835,0.6188482084298693,0.0012839841884340192,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,4,40001,True,19,False,10,0.5211791564133994,0.0151709308847785,0.19581790589418985,0.13126865283660644,0.5372758065680769,0.7382212457747732,0.7716286876622218,0.0017419463286915758,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,11,110001,True,24,False,10,0.4632063086008298,0.004969848319888115,0.1967752361714312,0.125890697147146,0.5205581258106278,0.7609807606820623,0.7569319300295706,0.0013008561000667123,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,18,180001,True,25,False,10,0.7603202438863225,0.013809029944241047,0.303615220959355,0.18591586770988694,1.1021069248820001,0.9311224900615602,0.6804439357649122,0.00040557150134976007,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,19,190001,True,26,False,10,0.805011185428428,0.01349625177681446,0.2817500357601693,0.16559607022259895,0.9691826995350785,0.8486043236443283,0.6972891214714582,0.00024625393553930134,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,0,1,22,220001,True,20,False,10,0.8240899804065901,0.010939639061689377,0.2629476513242423,0.1591139825810416,0.8800723045308311,0.862664980385393,0.6691386402177513,0.0002614995558327853,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,14,140001,True,20,False,10,0.7822664157058622,0.0060315607115626335,0.13812039397312142,0.0861603943826411,0.40723948925222975,0.6735519505463101,0.7994753861056835,0.000405880704050867,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,22,220001,True,14,False,10,0.8240899804065901,0.013109335210174322,0.3065625195340382,0.19499736519875213,0.7912466418121998,0.9374375386566525,0.6592408588289465,0.001090514208548573,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,27,270001,True,14,False,10,0.9771121812887735,0.009288540109992027,0.3210950199643397,0.2253906658219437,0.9132796250459838,1.668912403725162,0.5966529397707383,0.0010177892971225085,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,4,4001,11,110001,True,20,False,10,0.4632063086008298,0.007483720779418945,0.22362177353185683,0.1476836360210731,0.5405949755703802,0.7785711476791337,0.7626084585505336,0.0017380935177238903,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,19,190001,True,23,False,10,0.805011185428428,0.007526370696723461,0.3256461284150288,0.2243045257975477,0.8950354958635431,1.1942481842931914,0.6730415894117774,0.0005896858268180873,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,15,150001,True,16,False,10,0.9728456104723188,0.01514551229774952,0.29689435112396667,0.16665982076399877,1.1616146089809076,0.9413160867778341,0.6551157193976164,0.0006377173191119349,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,1,1001,1,10001,True,23,False,10,0.7425090138164958,0.014635395258665085,0.1427374765247954,0.08914879460855289,0.41719629086051374,0.6699798040404448,0.8093678235383255,0.0007864112313005418,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,4,4001,19,190001,True,26,False,10,0.805011185428428,0.0043860008008778095,0.3284040773505051,0.2497744889063258,0.9185447860010305,1.2717793437441447,0.676327237490156,0.00028728933290620573,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
6,3,3001,16,160001,True,16,False,10,0.9317241768201683,0.005427154712378979,0.3263527364896866,0.22787425380698184,1.0222083402508768,4.185261528768198,0.5879926483288569,9.019074602214556e-05,10,4,0.7071067811865476,2500,fast_ICA,iid,False,5
