n_known_src,init,init_seed,init_data,data_seed,converged,convergence_iteration,normalize_A,sn_ratio,Au_coherence,elapsed,A_err,A_err_angle_mean,A_err_angle_max,S_err_MSE,S_err_MCC,X_err,nsrc,nobs,sd_err,nreps,method,err_correlation_type,whiten_data,mu
0,0,1,0,1,True,0,False,10,0.8071856691408347,0.0030098403804004192,0.6051328621599142,0.6421719854162491,0.9954566345994383,1.8447036138650152,0.4855984915610834,21.65751690535026,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,1,10001,True,0,False,10,0.9324860670019741,0.0017826277762651443,0.6281357914681243,0.6542343047924534,1.013321158772609,2.4026286995968613,0.4556213297355203,19.718110428948034,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,3,30001,True,0,False,10,0.9233527330733435,0.0019077770411968231,0.6264772105005019,0.6716501850345725,1.144960339147199,1.828868004196315,0.5003550571386493,13.906749477202753,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,2,20001,True,0,False,10,0.8447948286943907,0.0030974000692367554,0.6261999914200875,0.6670618025143525,0.9877926469615023,2.2318272263431327,0.4803517554886984,15.570671031307697,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,4,40001,True,0,False,10,0.9024179084355668,0.002753680571913719,0.6784808142357931,0.7382646560910042,1.268170944277561,1.9583034946395337,0.47861279059848194,11.379993934736738,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,5,50001,True,0,False,10,0.9648270410917155,0.0021457052789628506,0.6338801937462939,0.6816117578310116,1.0913414397263734,2.420678610651713,0.4834209052145396,16.13436941318591,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,6,60001,True,0,False,10,0.9253266753597206,0.0019391966052353382,0.7163101588616287,0.8065781694586897,1.313173980391855,2.4008132124616965,0.4540688258638744,12.070446616468093,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,10,100001,True,0,False,10,0.9286368548848124,0.0015969397500157356,0.6694513326130355,0.7274375655344046,1.2406146392001998,2.3451761782406573,0.42499406638737586,21.67337648662602,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,8,80001,True,0,False,10,0.9691944157494872,0.0015508998185396194,0.6442392961100538,0.7171421273938599,1.1173773865826298,2.3957129912256274,0.47855800989088976,15.200969321213908,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,9,90001,True,0,False,10,0.9716419966931691,0.0026339017786085606,0.6481226589434604,0.6861050553190989,1.0847181231044396,1.9264660318934714,0.481411378609108,21.13809908490991,9,4,0.6708203932499369,2500,random,iid,False,5
0,0,1,14,140001,True,0,False,10,0.9219042921327698,0.0017535686492919922,0.5824946688290117,0.6156464562940211,0.8538711598417132,1.78100423703754,0.4954757999531172,18.820861648916157,9,4,0.6708203932499369,2500,random,iid,False,5
