,Reconstruction MSE,Column Scaled RMSE,Mean Angular Error,Maximum Angular Error,1 - Source MCC,Source Relative L2 Error
Reconstruction MSE,1.0,0.14682218610531864,0.16645907977096697,0.10200705708393057,0.14735477115806095,0.003610279393842738
Column Scaled RMSE,0.14682218610531864,1.0,0.9765357148919769,0.9159809622120462,0.8767055913498749,0.008456730855799129
Mean Angular Error,0.16645907977096697,0.9765357148919769,1.0,0.8317388275989345,0.832819984666872,0.007607314534669258
Maximum Angular Error,0.10200705708393057,0.9159809622120462,0.8317388275989345,1.0,0.8296390057009012,0.011785199635177455
1 - Source MCC,0.14735477115806095,0.8767055913498749,0.832819984666872,0.8296390057009012,1.0,0.011948636409248885
Source Relative L2 Error,0.003610279393842738,0.008456730855799129,0.007607314534669258,0.011785199635177455,0.011948636409248885,1.0
